tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Signori, Elisa;;L'Università di Pavia tra età giolittiana e fascismo;Toscani, Xenio;a cura di;Scienza e professione medica nel primo novecento. Riccardo Pampuri tra positivismo e cristianesimo. Atti della Giornata di studi, Pavia, 7-8 novembre 1997;Pavia;Università di Pavia;2001;;;;;17-24
articolo in volume miscellaneo;Signori, Elisa;;Le leggi razziali e le comunità accademiche. Casi, problemi, percorsi nel contesto lombardo;Casella, Antonio - Ferraresi, Alessandra - Giuliani, Giuseppe - Signori, Elisa;a cura di;Una difficile modernità. Tradizioni di ricerca e comunità scientifiche in Italia, 1890-1940;Pavia;Università degli studi di Pavia;2000;;;;;431-486
articolo in volume miscellaneo;Signori, Elisa;;Gli esordi pavesi. Luigi Credaro professore e assessore all'istruzione pubblica;Colombo, Arturo - Credaro Porta, Nella;a cura di;Luigi Credaro. Il coraggio dell'impegno. Atti del Convegno;Sondrio;Istituto Sondriese per la storia della Resistenza e dell'età contemporanea;2001;;;;;13-30
articolo in volume miscellaneo;Sileo, Leonardo;;Sapere universitario e teologia dal Duecento al Trecento;Cristiani, Marta;a cura di;Giovanni da Ripa e dintorni. Una cultura della complessità: la civiltà del XIV secolo. Colloquio promosso dalla Città di Ripatransone e dal Dipartimento di ricerche filosofiche, Università degli studi di Roma Tor Vergata, Ripatransone, 25-26 luglio 1997;Cava de' Tirreni;Avagliano;2001;;;;;19-52
articolo in volume miscellaneo;Silvestri, Andrea;;Un patrimonio da conservare: morte e trasfigurazione;Silvestri, Andrea;a cura di;Energia, luce, movimento. Le collezioni storiche del Dipartimento di Elettrotecnica;Milano;Politecnico - Hoepli;2002;;;;;1-20
articolo in volume miscellaneo;Simoncini, Giorgio;;Gustavo Giovannoni e la scuola superiore di architettura di Roma (1920-1935);Franchetti Pardo, Vittorio;a cura di;La Facoltà di architettura dell'Università 'La Sapienza' dalle origini al Duemila. Discipline, docenti, studenti ;Roma;Gangemi;2001;;;;;45-54
articolo in volume miscellaneo;Sinisi, Lorenzo;;Niccolò Gervasoni (1794-1873), avvocato, arrêtiste e magistrato, fra restaurazione e unità;Varnier, Giovanni Battista;a cura di;Giuristi liguri dell'Ottocento. Atti del Convegno organizzato dall'Accademia ligure di scienze e lettere in collaborazione con l'Accademia delle scienze di Torino e l'Istituto lombardo - Accademia di scienze e lettere, Genova, 8 aprile 2000;Genova;Accademia ligure di scienze e lettere;2001;;;;;23-52
articolo in volume miscellaneo;Sitran Rea, Luciana;;Studenti istriani all'Università di Padova ;Agostinetti, Nino - Viola, Lorenzo;a cura di;Istria domani;Padova;Edizioni del Lombardo-Veneto;1999;;;;;35-41
articolo in volume miscellaneo;Soetermeer, Frank;;Un problème quotidien de la librairie à Bologne: 'minora' manquants;Durand, Bernard - Mayali, Laurent;edited by;Excerptiones iuris: Studies in Honor of André Gouron;Berkeley;The Robbins collection;2000;;;;;693-716
articolo in volume miscellaneo;Soetermeer, Frank;;Un problème quotidien de la librairie à Bologne. 'Minora' manquants;Durand, Bernard - Mayali, Laurent;edited by;Excerptiones iuris: Studies in Honor of André Gouron;Berkeley;The Robbins collection;2000;;;;;693-716
articolo in volume miscellaneo;Soetermeer, Frank;;Die Herstellung juristischer Bücher in Bologna im 13. und 14. Jahrhundert;Colli, Vincenzo;herausgegeben von;Juristische Buchproduktion im Mittelalter;Frankfurt am Main;Klostermann;2002;;;;;481-516
articolo in volume miscellaneo;Soetermeer, Frank;;Exemplar und Pecia. Zur Herstellung juristischer Bücher in Bologna im 13. und 14. Jahrhundert;Colli, Vincenzo;herausgegeben von;Juristische Buchproduktion im Mittelalter;Frankfurt am Main;Klostermann;2002;;;;;481-516
articolo in volume miscellaneo;Soetermeer, Frank;;La 'taxatio peciarum et quaternorum' de l'Universitè de Bologne;Soetermeer, Frank;;Livres et juristes au Moyen Âge;Goldbach;Keip;1999;;;;;229-246
articolo in volume miscellaneo;Soetermeer, Frank;;La proportion entre civilistes et canonistes à l'Université de Bologne vers 1270;Soetermeer, Frank;;Livres et juristes au Moyen Âge;Goldbach;Keip;1999;;;;;273-288
articolo in volume miscellaneo;Soffietti, Isidoro;;Il Senato di Genova ed il Codice Carloalbertino di procedura criminale;Varnier, Giovanni Battista;a cura di;Giuristi liguri dell'Ottocento. Atti del Convegno organizzato dall'Accademia ligure di scienze e lettere in collaborazione con l'Accademia delle scienze di Torino e l'Istituto lombardo e Accademia di scienze e lettere, Genova, 8 aprile 2000;Genova;Accademia ligure di scienze e lettere;2001;;;;;205-212
articolo in volume miscellaneo;Soppelsa, Maria Laura;;Giuseppe Toaldo e le scienze venete;Pigatto, Luisa;a cura di;Giuseppe Toaldo e il suo tempo. Nel bicentenario della morte. Scienza e lumi tra Veneto e Europa. Atti del convegno, Padova, 10-13 novembre 1997;Cittadella (PD);Bertoncello Artigrafiche;2000;;;;;107-122
articolo in volume miscellaneo;Sottili, Agostino;;Eine Postille zum aritistischen Curriculum der italienischen Universitäten im Vergleich zur mitteleuropäischen Artistenfakultät. Kommentar aus italienischer Sicht;Schwinges, Rainer Cristoph;herausgegeben von;Artisten und Philosophen. Wissenschafts- und Wirkungsgeschichte einer Fakultät vom 13. bis zum 19. Jahrhundert;Basel;Schwabe & Co. ;1999;;;;;405-459
articolo in volume miscellaneo;Sottili, Agostino;;La formazione umanistica di Johannes Roth, vescovo principe di Breslavia;Graciotti, Sante;a cura di;Italia e Boemia nella cornice del Rinascimento europeo;Firenze;Olschki;1999;;;;;212-226
articolo in volume miscellaneo;Sottili, Agostino;;Juristen und Humanisten: Rudolf Agricola an der Universität Pavia;Akkerman, Fokke - Laan van der, Adrie H. -  Vanderjagt, Arie Johan;edited by;Northern Humanism in European Context, 1469-1625. From the 'Adwert Academy' to Ubbo Emmius;Leiden etc.;Brill;1999;;;;;206-221
articolo in volume miscellaneo;Sottili, Agostino;;Die humanistische Ausbildung deutscher Studenten an den italienischen Universitäten im 15. Jahrhundert: Johannes Löffelholz und Rudolf Agricola in Padua, Pavia und Ferrara;Hacke, Daniela - Roeck, Bernd;herausgegeben von;Die Welt im Augenspiegel. Johannes Reuchlin und seine Zeit;Stuttgart;Jan Thorbecke;2002;;;;;67-132
articolo in volume miscellaneo;Sottili, Agostino;;Università e umanesimo;Schnur, Rhoda;edited by;Acta conventus neo-latini Abulensis. Proceedings of the Tenth International Congress of Neo-Latin studies (Avila, 4-9 august 1997);Tempe, Arizona;Arizona Center for Medieval and Renaisance Studies;2000;;;;;603-610
articolo in volume miscellaneo;Sottili, Agostino;;Studenti tedeschi dell'Università di Padova e diffusione dell'umanesimo in Germania: Ulrich Gossembrot;Piovan, Francesco - Sitran Rea, Luciana;a cura di;Studenti, università, città nella storia padovana.  Atti del convegno, Padova 6-8 febbraio 1998;Trieste;Lint;2001;;;;;241-253
articolo in volume miscellaneo;Sottili, Agostino;;L'orazione Padovana di Ulrich Gossembrodt ad introduzione di una lettura di Terenzio;Becker, Peter Jörg - Bliembach, Eva - Nickel, Holger;a cura di;Scrinium Berolinense. Tilo Brandis Zum 65. Geburtstag;Wiesbaden;Reichert;2000;2;;;;1038-1051
articolo in volume miscellaneo;Sottili, Agostino - Tagliaferri, Marina;;La tradizione notarile degli Acta graduum pavesi fino al primo ventennio del Cinquecento;Brizzi, Gian Paolo - Romano, Andrea;a cura di;Studenti e dottori nelle università italiane (origini XX secolo). Atti del convegno di studi, Bologna, 25-27 novembre 1999;Bologna;Clueb;2000;;;;;123-147
articolo in volume miscellaneo;Spagnesi, Enrico;;Il diritto;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa. Vol. 2/2. 1737-1861;Pisa;Edizioni Plus - Università di Pisa;2000;;;;;461-570
articolo in volume miscellaneo;Spagnesi, Enrico;;Bernardo Tanucci e l'idea di Università;;;A Ennio Cortese. Scritti promossi da Domenico Maffei e raccolti a cura di Italo Birocchi;Roma;Il Cigno Galileo Galilei;2001;3;;;;365-375
articolo in volume miscellaneo;Spagnesi, Gianfranco;;L'insegnamento di Saverio Muratori: la Cappella in muratura a pianta centrale;Franchetti Pardo, Vittorio;a cura di;La Facoltà di architettura dell'Università 'La Sapienza' dalle origini al Duemila. Discipline, docenti, studenti ;Roma;Gangemi;2001;;;;;373-386
articolo in volume miscellaneo;Spatz, Nancy K.;;Imagery in university inception sermons;Hamesse, Jacqueline - Kienzle, Beverly Mayne - Stoudt, Debra L. - Thayer, Anne T.;edited by;Medieval sermons and society: cloister, city, university;Louvain-la-Neuve;Fédération internationale des Instituts d'études médiévales;1998;;;;;329-342
articolo in volume miscellaneo;Speciale, Giuseppe;;'Libri legales' a Padova. Note sul ms. London, British Library, Arundel 433;;;A Ennio Cortese. Scritti promossi da Domenico Maffei e raccolti a cura di Italo Birocchi;Roma;Il Cigno Galileo Galilei;2001;3;;;;376-386
articolo in volume miscellaneo;Stabel, Peter;;Venezia e i Paesi Bassi: contatti commerciali e stimoli intellettuali;Aikema, Bernard - Brown, Beverly Louise - Nepi Scirè, Giovanna;a cura di;Il Rinascimento a Venezia e la pittura del Nord ai tempi di Bellini, Dürer, Tiziano;Milano;Bompiani;1999;;;;;31-43
articolo in volume miscellaneo;Staderini, Alessandra;;La Facoltà nei primi decenni del Novecento (1900-1920);Capo, Lidia - Di Simone, Maria Rosa;a cura di;Storia della facoltà di Lettere e Filosofia de 'La Sapienza';Roma;Viella;2000;;;;;451-507
articolo in volume miscellaneo;Stefani, Giorgio;;L'università italiana di fronte ai mutamenti demografici e sociali;Università degli studi di Ferrara e di Salerno;a cura delle;Fraterna munera. Studi in onore di Luigi Amirante;Salerno (Lancusi);[s.n.];1998;;;;;427-442
articolo in volume miscellaneo;Stella, Aldo;;Studenti e docenti patavini tra Riforma e Controriforma;Piovan, Francesco - Sitran Rea, Luciana;a cura di;Studenti, università, città nella storia padovana.  Atti del convegno, Padova 6-8 febbraio 1998;Trieste;Lint;2001;;;;;371-387
articolo in volume miscellaneo;Storti Storchi, Claudia;;Ludovico Casanova (1799-1853) e le sue lezioni di diritto internazionale;Varnier, Giovanni Battista;a cura di;Giuristi liguri dell'Ottocento. Atti del Convegno organizzato dall'Accademia ligure di scienze e lettere in collaborazione con l'Accademia delle scienze di Torino e l'Istituto lombardo - Accademia di scienze e lettere, Genova, 8 aprile 2000;Genova;Accademia ligure di scienze e lettere;2001;;;;;53-94
articolo in volume miscellaneo;Strumia, Franco;;Il Museo di Storia Naturale e del Territorio;Università di Pisa;a cura di;Arte e Scienza nei musei dell'Università di Pisa;Pisa;Plus - Università di Pisa;2002;;;;;97-140
articolo in volume miscellaneo;Stussi, Alfredo;;Vito Fumagalli (gli anni dell'università alla Normale di Pisa);Stussi, Alfredo;;Tra filologia e storia. Studi e testimonianze;Firenze;Olschki;1999;;;;;293-297
articolo in volume miscellaneo;Tamm, Ditlev;;The Universities in the Nordic Countries ;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;207-219
articolo in volume miscellaneo;Tamul, Villu;;The place of the University of Tartu (Dorpat, Yuryev) in the scientific and academic life of the Eastern and Central Europe during the 19th century;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;653-664
articolo in volume miscellaneo;Tangheroni, Marco;;Le origini dello Studio pisano (1338-1406);Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;95-102
articolo in volume miscellaneo;Tanti, Giovanna;;L'applicazione delle leggi razziali a Pisa: il caso dell'Università;Luzzati, Michele;a cura di;Gli ebrei a Pisa (secoli IX-XX);Ospedaletto (PI);Pacini;1998;;;;;381-390
articolo in volume miscellaneo;Tanti, Giovanna;;La pace e le conseguenze della guerra nell'Università di Pisa;Fanfani, Tommaso;a cura di;Shoah e cultura della pace. Pagine di storia del Novecento all'Università di Pisa;Pisa;Plus;2001;;;;;17-20
articolo in volume miscellaneo;Tanturri, Alberto;;Le origini del Collegium Theatinum;Iappelli, Filippo - Parente, Ulderico ;a cura di;Alle origini dell'università dell'Aquila. Cultura, università, collegi gesuitici all'inizio dell'età moderna in Italia meridionale. Atti del convegno internazionale di studi promosso dalla Compagnia di Gesù e dall'Università dell'Aquila nel IV centenario dell'Aquilanum Collegium (1596) (L'Aquila, 8-11 novembre 1995);Roma;Institutum Historicum Societatis Iesu;2000;;;;;457-488
articolo in volume miscellaneo;Tedde, Angelino;;Gli studenti della facoltà di teologia dell’Università di Sassari (1766-1873);Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;897-909
articolo in volume miscellaneo;Tervoort, Ad;;The Italian connection: the Iter Italicum and the Northern Netherlands (1425-1575);Akkerman, Fokke - Laan van der, Adrie H. -  Vanderjagt, Arie Johan;edited by;Northern Humanism in European Context, 1469-1625. From the 'Adwert Academy' to Ubbo Emmius;Leiden etc.;Brill;1999;;;;;222-241
articolo in volume miscellaneo;Tironi, Luigi;;L'Ateneo di Scienze, Lettere e Arti e il Liceo classico: vicende e personaggi nel rapporto di collaborazione ed interazione tra due antiche istituzioni culturali;Pagani, Lelio;a cura di;L'Ateneo dall'età napoleonica all'unità d'Italia. Documenti e storia della cultura a Bergamo;Bergamo;Edizioni dell'Ateneo;2001;;;;;215-228
articolo in volume miscellaneo;Tiškin, Grigorij Alekseevic ;;Gli istituti di insegnamento superiore di tipo universitario (statali e privati) in Russia;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;637-652
articolo in volume miscellaneo;Tognotti, Eugenia;;La formazione culturale e professionale dei chirurghi nelle riforme degli studi della Facoltà medica dell’Università di Sassari nella prima metà dell’Ottocento;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;808-814
articolo in volume miscellaneo;Tosatti, Giovanna;;Gli studi di giurisprudenza e le carriere amministrative in età liberale;Brizzi, Gian Paolo - Romano, Andrea;a cura di;Studenti e dottori nelle università italiane (origini XX secolo). Atti del convegno di studi, Bologna, 25-27 novembre 1999;Bologna;Clueb;2000;;;;;357-367
articolo in volume miscellaneo;Tosi, Alessandro;;Il Gabinetto Disegni e Stampe;Università di Pisa;a cura di;Arte e Scienza nei musei dell'Università di Pisa;Pisa;Plus - Università di Pisa;2002;;;;;313-327
articolo in volume miscellaneo;Töth István, György;;Le università minori in Ungheria nel Seicento e nel Settecento;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;221-227
articolo in volume miscellaneo;Trento, Dario;;La scuola di anatomia. Brera e Leonardo, un confronto obbligato;Istituto di storia e teoria dell'arte, Istituto di anatomia artistica Accademia di belle arti di Brera;a cura di;Due secoli di anatomia artistica. Dalla macchina corporea al corpo vissuto;Milano;Scheiwiller;2000;;;;;67-71
articolo in volume miscellaneo;Triarico, Carlo;;La Specola di Leonardo Ximenes a Firenze e la catalogazione dei suoi strumenti;Pigatto, Luisa;a cura di;Giuseppe Toaldo e il suo tempo. Nel bicentenario della morte. Scienza e lumi tra Veneto e Europa. Atti del convegno, Padova, 10-13 novembre 1997;Cittadella (PD);Bertoncello Artigrafiche;2000;;;;;381-409
articolo in volume miscellaneo;Tucci, Pasquale;;Brera astronomers’ contributions to Celestial Mechanics from 1776 to 1821;Pigatto, Luisa;a cura di;Giuseppe Toaldo e il suo tempo. Nel bicentenario della morte. Scienza e lumi tra Veneto e Europa. Atti del convegno, Padova, 10-13 novembre 1997;Cittadella (PD);Bertoncello Artigrafiche;2000;;;;;361-379
articolo in volume miscellaneo;Turrini, Miriam;;Il 'metodo stabile' per regolare il Collegio dei nobili di Parma ad inizi Settecento;Brizzi, Gian Paolo - Greci, Roberto;a cura di;Gesuiti e Università in Europa (secoli XVI-XVIII). Atti del Convegno di studi. Parma, 13-15 dicembre 2001;Bologna;Clueb;2002;;;;;243-255
articolo in volume miscellaneo;Turtas, Raimondo;;La formazione delle università di Cagliari e di Sassari;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;675-696
articolo in volume miscellaneo;Upton, Christopher A.;;Foundation and Failure: The Scottish Universities in the Later Middle Ages ;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;67-73
articolo in volume miscellaneo;Vanzan Marchini, Nelli-Elena;;La professione medica alla fine della Repubblica veneta;Sitran Rea, Luciana;a cura di;Istituzioni culturali, scienza, insegnamento nel Veneto dall'età delle riforme alla Restaurazione (1761-1818). Atti del convegno di studi, Padova, 28-29 maggio 1998;Trieste;Lint;2000;;;;;77-92
articolo in volume miscellaneo;Varanini, Gian Maria;;Come si progetta uno Studium generale. Università, società, comune cittadino a Treviso (1314-1318) ;Varanini, Gian Maria et al.;;L'Università medievale di Treviso;Treviso;Antilia;2000;;;;;11-46
articolo in volume miscellaneo;Varanini, Gian Maria;;Bailo, Coletti e le istituzioni culturali trevigiane fra tradizione erudita e scelte museografiche nell'Otto e Novecento;Diano, Antonio;a cura di;Luigi Coletti. Atti del convegno di studi (Treviso, 29-30 aprile 1998);Treviso;Canova;1999;;;;;109-134
articolo in volume miscellaneo;Varnier, Giovanni Battista;;La cultura giurudica ligure nel XIX secolo. Considerazioni conclusive;Varnier, Giovanni Battista;a cura di;Giuristi liguri dell'Ottocento. Atti del Convegno organizzato dall'Accademia ligure di scienze e lettere in collaborazione con l'Accademia delle scienze di Torino e l'Istituto lombardo - Accademia di scienze e lettere, Genova, 8 aprile 2000;Genova;Accademia ligure di scienze e lettere;2001;;;;;243-252
articolo in volume miscellaneo;Vecchiati, G.;;Facoltà di Farmacia. Dipartimento di Scienze Farmaceutiche;Loriga, Carmela;a cura di;Verso un museo delle scienze. Orto botanico, musei e collezioni storico-scientifiche dell'Università di Ferrara;Ferrara;Università degli studi di Ferrara;2001;;;;;95-98
articolo in volume miscellaneo;Veggetti, Alba;;La scuola di veterinaria;Sitran Rea, Luciana;a cura di;Istituzioni culturali, scienza, insegnamento nel Veneto dall'età delle riforme alla Restaurazione (1761-1818). Atti del convegno di studi, Padova, 28-29 maggio 1998;Trieste;Lint;2000;;;;;173-189
articolo in volume miscellaneo;Ventura, Angelo;;L'8 febbraio 1848 nella storia dell'Università di Padova;Piovan, Francesco - Sitran Rea, Luciana;a cura di;Studenti, università, città nella storia padovana.  Atti del convegno, Padova 6-8 febbraio 1998;Trieste;Lint;2001;;;;;707-720
articolo in volume miscellaneo;Verga, Marcello;;L'Università di Pisa nel Settecento delle riforme;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa. Vol. 2/3. 1737-1861;Pisa;Edizioni Plus - Università di Pisa;2000;;;;;1129-1166
articolo in volume miscellaneo;Vergara Caffarelli, Roberto;;Carlo Alfonso Guadagni, i suoi strumenti e i suoi manuali di Fisica;Pigatto, Luisa;a cura di;Giuseppe Toaldo e il suo tempo. Nel bicentenario della morte. Scienza e lumi tra Veneto e Europa. Atti del convegno, Padova, 10-13 novembre 1997;Cittadella (PD);Bertoncello Artigrafiche;2000;;;;;503-519
articolo in volume miscellaneo;Vergara Caffarelli, Roberto;;Gli strumenti scientifici;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa. Vol. 2/3. 1737-1861;Pisa;Edizioni Plus - Università di Pisa;2000;;;;;1109-1166
articolo in volume miscellaneo;Vergara Caffarelli, Roberto;;Le Scienze: Fisica, Chimica, Matematica;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa. Vol. 2/3. 1737-1861;Pisa;Edizioni Plus - Università di Pisa;2000;;;;;759-822
articolo in volume miscellaneo;Verger, Jacques;;Rapports hierarchiques et amicitia au sein des populations universitaires medievales;Carozzi, Claude - Taviani-Carozzi, Huguette;sous la direction de;Hierarchies et services au Moyen age. Seminaire Societes, ideologies et croyances au Moyen Age;Aix-en-Provence;Publications de l'Université de Provence;2001;;;;;289-307
articolo in volume miscellaneo;Verger, Jacques;;Le università francesi;Brizzi, Gian Paolo - Verger, Jacques;a cura di;L'università in Europa dall'Umanesimo ai Lumi;Cinisello Balsamo (MI);Silvana editoriale;2002;;;;;73-107
articolo in volume miscellaneo;Verger, Jacques;;Les universités françaises de la fin du Moyen Âge ont-elles été des 'petites universités'?;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;13-28
articolo in volume miscellaneo;Veronese Ceseracciu, Emilia;;Gli Acta graduum padovani dal 1551 al 1565. Osservazioni e problemi editoriali;Brizzi, Gian Paolo - Romano, Andrea;a cura di;Studenti e dottori nelle università italiane (origini XX secolo). Atti del convegno di studi, Bologna, 25-27 novembre 1999;Bologna;Clueb;2000;;;;;159-166
articolo in volume miscellaneo;Veronese Ceseracciu, Emilia;;Il collegio Engleschi nel Quattro e Cinquecento;Piovan, Francesco - Sitran Rea, Luciana;a cura di;Studenti, università, città nella storia padovana.  Atti del convegno, Padova 6-8 febbraio 1998;Trieste;Lint;2001;;;;;255-315
articolo in volume miscellaneo;Verzella, Emanuela;;Dispute giurisdizionali, privilegi del re, convenzioni, bozze di leggi e norme approvate: gli ordinamenti dell’Università di Sassari dalle sue origini al 1765;Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;749-770
articolo in volume miscellaneo;Viano, Ilario;;Dal passato al futuro: strategie di un insediamento universitario;Bona, Gianni - Cantino Wataghin, Gisella;a cura di;Passato futuro. I luoghi dell'Università degli Studi del Piemonte orientale 'Amedeo Avogadro';Alessandria etc.;s.n.;2002;;;;;9-12
articolo in volume miscellaneo;Viggiano, Alfredo;;La pratica della giustizia. Appunti su professioni legali e sistemi di potere tra caduta della Repubblica ed età della restaurazione;Sitran Rea, Luciana;a cura di;Istituzioni culturali, scienza, insegnamento nel Veneto dall'età delle riforme alla Restaurazione (1761-1818). Atti del convegno di studi, Padova, 28-29 maggio 1998;Trieste;Lint;2000;;;;;313-333
articolo in volume miscellaneo;Violardo, Marco;;Università ed accademie: le scienze giuridiche, economiche, storiche, filosofiche, filologiche;Levra, Umberto;a cura di;Storia di Torino. Vol. 6. La città nel Risorgimento (1798-1864);Torino;Einaudi;2000;;;;;619-642
articolo in volume miscellaneo;Visconti, Agnese ;;Il ruolo delle scienze in Lombardia nell’età delle grandi riforme ;Pigatto, Luisa;a cura di;Giuseppe Toaldo e il suo tempo. Nel bicentenario della morte. Scienza e lumi tra Veneto e Europa. Atti del convegno, Padova, 10-13 novembre 1997;Cittadella (PD);Bertoncello Artigrafiche;2000;;;;;611-623
articolo in volume miscellaneo;Visentini Azzi, Margherita;;L'orto botanico e l'orto agrario;Sitran Rea, Luciana;a cura di;Istituzioni culturali, scienza, insegnamento nel Veneto dall'età delle riforme alla Restaurazione (1761-1818). Atti del convegno di studi, Padova, 28-29 maggio 1998;Trieste;Lint;2000;;;;;113-134
articolo in volume miscellaneo;Volpi, Alessandro;;La Biblioteca Universitaria;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa. Vol. 2/3. 1737-1861;Pisa;Edizioni Plus - Università di Pisa;2000;;;;;1045-1108
articolo in volume miscellaneo;Walther, Helmut G.;;Learned Jurists and their Profit for Society - Some Aspects of the Development of Legal Studies at Italian and German Universities in the Late Middle Ages;Courtenay, William J. - Miethke, Jürgen;edited by;Universities and Schooling in Medieval Society;Leiden etc.;Brill;2000;;;;;100-126
articolo in volume miscellaneo;Walther, Helmut G.;;Learned jurists and their profit for society. Some aspects of the development of legal studies at Italian and German universities in the Middle Ages;Courtenay, William J. - Miethke, Jürgen;edited by;Universities and Schooling in Medieval Society;Leiden etc.;Brill;2000;;;;;100-126
articolo in volume miscellaneo;Walther, Helmut G. ;;Die Legitimation der Herrschaftsordnung durch die Rechtslehrer der italienischen Universitäten des Mittelalters;Dux, Günter - Welz, Frank;herausgegeben von;Moral und Recht im Diskurs der Moderne. Zur Legitimation gesellschaftlicher Ordnung;Opladen;Leske+Budrich;2001;;;;;175-190
articolo in volume miscellaneo;Wingens, Marc;;Small Universities in the Republic of the United Provinces (1575-1815);Brizzi, Gian Paolo - Verger, Jacques;a cura di;Le università minori in Europa (secoli XV-XIX). Convegno internazionale di studi (Alghero, 30 ottobre - 2 novembre 1996);Soveria Mannelli (CZ);Rubbettino;1998;;;;;199-205
articolo in volume miscellaneo;Woelk, Jens;;La Libera Università di Bolzano e l'istruzione superiore;Marko, Joseph - Ortino, Sergio - Palermo, Francesco;a cura di;L'ordinamento speciale della Provincia autonoma di Bolzano ;Padova;Cedam;2001;;;;;870-891
articolo in volume miscellaneo;Zanchini di Castiglionchio, Francesco;;Materiali per una storia dell'Università di Teramo;;;Monografia della provincia di Teramo. Il XX secolo;S. Atto di Teramo;Edigrafital;1999;2;;;;487-509
articolo in volume miscellaneo;Zaninelli, Sergio;;La formazione degli studenti e l'educazione permanente;;;L'Università Cattolica a 75 anni dalla fondazione. Riflessioni sul passato e prospettive per il futuro;Milano;Vita e Pensiero;1998;;;;;491-515
articolo in volume miscellaneo;Zen Benetti, Francesca;a cura di;Il Seicento;Del Negro, Piero - Piovan , Francesco;a cura di;L'Università di Padova nei secoli (1601-1805). Documenti di storia dell'Ateneo;Treviso;Antilia;2002;;;;;7-148
articolo in volume miscellaneo;Zen Benetti, Francesca;;Una proposta di riforma seicentesca: il 'Discorso di Ingolfo de Conti di Padova circa il regolare i scolari dello Studio di Padova';Piovan, Francesco - Sitran Rea, Luciana;a cura di;Studenti, università, città nella storia padovana.  Atti del convegno, Padova 6-8 febbraio 1998;Trieste;Lint;2001;;;;;441-455
articolo in volume miscellaneo;Zerbi, Pietro;;L'Università Cattolica di fronte ai problemi degli anni Cinquanta e Sessanta;;;L'Università Cattolica a 75 anni dalla fondazione. Riflessioni sul passato e prospettive per il futuro;Milano;Vita e Pensiero;1998;;;;;59-72
articolo in volume miscellaneo;Zini, Grazia;;Dipartimento di Fisica;Loriga, Carmela;a cura di;Verso un museo delle scienze. Orto botanico, musei e collezioni storico-scientifiche dell'Università di Ferrara;Ferrara;Università degli studi di Ferrara;2001;;;;;57-62
